booking_id,is_group_booking,group_name,user_id,hotel_reservation_id,hotel_id,hotel_price,car_reservation_id,car_id,car_price,flight_reservation_id,flight_id,flight_price
541884,True,Conner-Fisher,3,3698,610697,4348,271638,713866686,224,17291,203788,8993
171979,False,"Castillo, Smith and Weiss",8,1830408,320366,8300,477965,706534686,8925,943711,630185,7484
226115,False,Francis-Finley,137,4997810,890094,9300,545402,731909191,9814,410957,528767,5051
868576,False,"Rios, Miller and Rose",122,1785571,510885,916,480256,659780411,3914,796474,1277,9487
189301,False,Wilson and Sons,132,1115665,999981,1681,703225,678751801,6661,722809,171577,3002
624649,True,"Kelly, Smith and Delgado",29,4912070,568432,4147,875196,743074431,4365,573141,965243,4177
702881,False,"Goodwin, Morrison and Smith",129,178675,414489,5453,838931,723751836,9891,927683,898281,2054
84210,False,Torres Group,102,5518419,993794,8810,797521,730409136,8749,943442,222081,8055
46497,False,"Peterson, Watson and Smith",68,4086804,807448,1,168160,433426568,6085,809616,801950,3364
375708,True,"Beck, Wilson and Mills",26,876930,654651,3311,126739,714522901,6552,435281,974201,4521
660989,False,Munoz-Robles,6,2044162,272571,2178,194056,692405936,5597,749638,94926,1771
679851,False,"Norris, Cooper and Phelps",28,178675,417564,9644,380732,733223726,2185,201884,81487,3889
479120,False,"Miller, Myers and Mitchell",46,69438,962254,7793,417325,635438881,2692,101347,959782,1359
93568,False,"Houston, Berg and Mitchell",74,1659994,548620,6622,871964,733234426,8047,480079,729918,7403
968040,True,"Gilbert, Watkins and Cochran",115,7838874,306035,4854,32802,733217026,2395,18642,654436,9509
835843,False,Sanders LLC,91,4910240,384244,7818,474728,713997806,9485,90630,61299,4061
174326,True,Logan PLC,112,4044766,197505,9113,855472,732115671,9260,610414,761189,2423
29819,False,Hughes PLC,5,3706127,287513,8399,696366,564700538,5367,102094,848117,9544
656445,False,Johnson PLC,83,6038113,575255,5013,454750,607031878,1776,665842,594131,3964
663539,False,Weber Ltd,19,5708644,306193,8263,664477,733201761,5916,390970,706902,3818
597073,False,"Hobbs, Mckee and Fuller",17,7120348,339897,9933,504080,714519221,6459,429313,926885,3646
300075,True,Hudson PLC,88,8023712,894573,2045,844928,747565081,8474,620585,233912,9631
631648,True,"Mcmahon, Schultz and Chapman",40,4405835,828467,6511,292435,737926196,3536,664270,468555,3161
681480,False,"Wright, Johnson and Gilbert",103,7076298,820672,1364,689881,713910426,3967,12977,989354,1410
292688,False,Brown-Turner,54,9737950,898224,9170,492542,733080641,5980,552870,187138,7414
517633,False,Haas-Bean,1,1358857,956623,6026,664599,670201351,6161,341302,815373,3341
896886,False,Owens-Buckley,16,1830408,259110,6582,673633,737042741,2815,562178,886902,1269
655601,True,Johnson LLC,97,1059157,42607,4257,993075,719270426,3958,406532,33165,313
193563,True,Cox LLC,49,9157266,37701,8661,843125,735429471,3643,572015,192232,9542
283157,False,Conway-Young,42,108988,894573,7221,273564,713866486,3565,231050,569231,4134
155885,False,Miller Group,136,9102470,295917,960,29960,733230426,9633,431549,977319,9915
753529,False,Wilson Group,9,7018017,595375,6706,696098,701970893,3021,719918,763655,8887
507987,True,Gordon Group,1,2508348,960380,9476,906512,735557176,8297,672696,820328,398
448472,True,Murphy-Robinson,110,4997810,473639,7119,126683,714395356,819,204704,230394,7521
801687,False,Walters-Chavez,122,4012140,615320,292,475191,667454256,7086,281039,643795,9379
394417,True,Andrade-Fitzgerald,123,7408070,370440,1233,837054,714342836,3434,980037,999295,7106
502753,True,Weaver-Frederick,103,1449200,47919,3287,203433,713866656,7013,468211,457262,9621
625349,True,Perez LLC,13,83832,618291,8149,513446,712343161,8899,372204,964946,4887
116164,False,Smith-Davis,9,4747463,127042,506,382007,747385656,9718,102404,115059,6658
459511,True,Thompson-Kelly,82,6269827,127042,6137,414150,692404266,6397,497649,617400,3084
178703,False,"Arellano, Yates and Smith",131,8055038,623327,668,586388,671886471,1178,261306,155093,2034
851091,True,King Group,76,3166302,618291,2845,260578,733203541,6859,519591,213646,2225
727794,False,"Rojas, Smith and Jones",50,4458424,132973,8307,905923,649471583,1322,320616,462149,758
140726,False,Conway and Sons,108,673237,9027,310,780968,713991046,8053,953716,569852,1000
280120,False,Perkins Ltd,119,8290900,395886,9978,628514,743667156,6436,446627,929968,827
34099,False,Ramos PLC,74,1067447,846485,9421,268298,723771566,6532,186822,764275,3698
748311,True,Salazar Group,25,8576154,756263,7161,367172,695616681,3142,330479,896773,1287
71775,False,Copeland and Sons,127,5599050,468472,5127,491562,616854148,8610,142147,937005,3720
907232,True,Cunningham-Ramirez,109,3166302,999981,820,797849,730059981,9187,258329,734284,7343
961565,True,"Gregory, Contreras and Nelson",76,7613531,132973,2684,881745,743074431,880,793614,879532,8303
155992,True,"Miller, Perez and Hernandez",1,6173313,343054,6940,761191,729703146,8517,354973,346589,5438
555904,False,"Taylor, Scott and Marshall",80,104782,302786,9706,125919,733196361,9437,495090,131465,2019
151406,False,Cummings LLC,21,8281696,911566,4241,490134,702279711,7355,857708,725401,9506
547540,True,Dawson-Sandoval,31,5845164,816605,8828,804098,675139416,6517,589505,267362,5728
689259,False,Patton Inc,126,7092445,109008,6263,815689,666355066,8161,883586,799881,9803
352972,True,Smith LLC,108,4596825,724638,8245,740338,713897226,5357,713932,95580,8936
