reservation_id,user_id,flight_id,flight_time,route,flight_duration
427059,104,74459,2022-11-15 12:26:25,AKLHGH,7.21
853053,130,935763,2023-04-27 23:29:02,AKLDEL,5.52
564185,2,44,2022-11-22 19:46:48,AKLDEL,5.52
165307,71,78553,2023-06-14 00:38:21,AKLDEL,5.52
265854,13,156118,2023-07-31 09:09:16,AKLDEL,5.52
727099,86,620971,2022-12-20 17:56:43,AKLDEL,5.52
332376,87,361132,2023-04-24 15:52:22,AKLDEL,5.52
621428,31,154817,2022-10-07 13:40:11,AKLDEL,5.52
710213,35,784963,2023-02-04 21:15:34,AKLDEL,5.52
429875,23,556345,2022-10-19 16:34:02,AKLDEL,5.52
606591,42,816027,2022-12-28 03:43:49,AKLDEL,5.52
731991,12,837176,2022-10-05 02:41:09,AKLDEL,5.52
784262,59,893682,2023-05-29 01:32:29,AKLDEL,5.52
532965,112,585875,2023-06-15 02:55:11,AKLDEL,5.52
981761,32,81935,2022-08-31 09:45:18,AKLDEL,5.52
529592,48,908467,2022-12-11 09:51:17,AKLDEL,5.52
930473,26,547978,2023-03-27 10:01:16,AKLDEL,5.52
270920,59,536894,2023-05-10 23:16:49,AKLDEL,5.52
903939,72,550093,2023-06-13 16:45:38,AKLDEL,5.52
382018,109,850860,2023-05-07 06:25:11,AKLDEL,5.52
687168,108,654137,2023-01-11 00:10:25,AKLHGH,5.07
224966,123,346910,2022-11-24 21:29:45,AKLHND,7.57
400156,33,549870,2023-03-02 05:27:08,AKLICN,6.62
975879,119,161037,2022-10-15 05:00:52,AKLICN,6.62
61781,46,560706,2022-11-13 01:50:42,AKLICN,6.62
966035,135,874605,2023-02-05 03:13:25,AKLICN,6.62
293418,51,884134,2023-03-30 11:16:08,AKLICN,6.62
330226,5,440868,2023-02-21 13:54:19,AKLICN,6.62
32130,98,99532,2022-11-10 22:50:39,AKLICN,6.62
323970,18,90502,2023-06-24 10:05:31,AKLICN,6.62
35050,77,932336,2022-10-02 10:28:09,AKLICN,6.62
330720,51,372124,2022-10-01 12:46:38,AKLICN,6.62
596873,62,831796,2023-07-19 18:24:14,AKLICN,6.62
885525,87,996113,2023-08-03 12:11:36,AKLICN,6.62
824675,30,903575,2023-06-30 06:10:35,AKLICN,6.62
638086,116,872515,2023-02-18 10:38:58,AKLICN,6.62
385774,96,937199,2023-04-07 08:39:47,AKLICN,6.62
903335,50,751274,2023-04-22 11:28:41,AKLICN,6.62
801974,41,246688,2022-10-17 03:30:49,AKLICN,6.62
659280,119,598709,2023-07-05 04:10:30,AKLICN,6.62
485052,31,581845,2023-07-13 02:35:58,AKLICN,6.62
166921,23,206253,2022-08-20 17:26:19,AKLICN,6.62
391908,84,932912,2022-12-12 09:34:31,AKLICN,6.62
344679,19,196380,2023-07-21 15:51:49,AKLICN,6.62
714036,49,146549,2022-12-04 18:36:24,AKLICN,6.62
432826,102,742699,2022-08-08 11:23:46,AKLICN,6.62
486003,65,143504,2022-09-29 00:31:59,AKLICN,6.62
937721,40,335705,2022-11-12 01:17:48,AKLICN,6.62
417733,104,17716,2023-07-15 15:21:37,AKLICN,6.62
814047,114,128978,2023-06-29 21:16:58,AKLICN,6.62
854846,35,442691,2022-10-26 05:42:21,AKLICN,6.62
732910,124,770088,2022-10-24 17:37:34,AKLICN,6.62
963148,4,941793,2022-09-02 07:53:22,AKLICN,6.62
763143,89,241855,2022-12-03 22:32:02,AKLICN,6.62
150912,36,988047,2022-08-20 18:24:05,AKLICN,6.62
162123,12,257410,2023-02-03 10:58:22,AKLICN,6.62
556371,104,932705,2022-10-11 03:42:57,AKLICN,6.62
110593,40,715194,2023-04-23 12:41:55,AKLICN,6.62
372480,119,672164,2023-02-13 21:11:09,AKLICN,6.62
150894,80,143136,2022-08-20 17:37:33,AKLICN,6.62
468930,86,623008,2023-01-07 05:24:21,AKLICN,6.62
207268,132,765920,2022-12-16 10:31:24,AKLICN,6.62
576905,98,349049,2023-01-06 01:49:59,AKLICN,6.62
752467,74,603178,2023-02-22 21:39:15,AKLICN,6.62
99332,78,665564,2022-10-07 12:16:03,AKLICN,6.62
110293,66,348076,2022-12-09 12:11:30,AKLICN,6.62
682233,10,798706,2023-06-25 07:48:17,AKLICN,6.62
91873,108,869918,2023-05-29 06:48:51,AKLICN,6.62
226009,81,406829,2023-06-01 22:50:32,AKLICN,6.62
370055,74,355494,2022-12-25 20:24:18,AKLICN,5.52
54829,88,96904,2022-10-30 10:10:07,AKLICN,6.62
920939,57,733249,2023-02-21 11:11:21,AKLKIX,7.0
649126,60,474100,2023-03-26 12:52:53,AKLKIX,7.0
354045,97,957980,2022-09-20 09:27:34,AKLKIX,7.0
990525,89,580399,2023-01-15 14:40:54,AKLKIX,7.0
488645,50,795462,2023-03-12 01:46:02,AKLKIX,7.0
412954,57,861942,2022-10-30 13:34:04,AKLKIX,7.0
934641,22,678631,2022-10-04 07:59:38,AKLKTM,4.75
840370,74,865897,2023-06-04 10:43:38,AKLKTM,4.75
417525,119,190163,2022-12-17 01:57:13,AKLKTM,4.75
342374,92,216275,2022-08-23 15:11:13,AKLKTM,4.75
379957,136,509167,2023-02-20 18:09:38,AKLKTM,4.75
